Event,Round,Group,Timeframe,Amount of staff members
777,Round 1,Group 1,Friday 09:00 - 09:25,67
777,Round 1,Group 2,Friday 09:25 - 09:50,60
777,Round 1,Group 3,Friday 09:50 - 10:15,60
333mbf,Round 1,Group 1,Friday 09:45 - 10:45,59
666,Round 1,Group 1,Friday 10:15 - 10:35,60
666,Round 1,Group 2,Friday 10:35 - 10:55,59
666,Round 1,Group 3,Friday 10:55 - 11:15,70
minx,Round 1,Group 1,Friday 11:15 - 11:38,66
minx,Round 1,Group 2,Friday 11:38 - 12:01,68
minx,Round 1,Group 3,Friday 12:01 - 12:25,65
333ft,Round 1,Group 1,Friday 12:25 - 12:40,71
333ft,Round 1,Group 2,Friday 12:40 - 12:55,68
333ft,Round 2,Group 1,Friday 12:55 - 13:05,69
333fm,Round 1,Group 1,Friday 13:20 - 14:20,51
skewb,Round 1,Group 1,Friday 14:30 - 14:45,65
skewb,Round 1,Group 2,Friday 14:45 - 15:00,69
skewb,Round 1,Group 3,Friday 15:00 - 15:15,70
skewb,Round 1,Group 4,Friday 15:15 - 15:30,72
555,Round 1,Group 1,Friday 15:30 - 15:55,52
555,Round 1,Group 2,Friday 15:55 - 16:20,66
555,Round 1,Group 3,Friday 16:20 - 16:45,67
555,Round 1,Group 4,Friday 16:45 - 17:10,66
555,Round 1,Group 5,Friday 17:10 - 17:35,67
555bf,Round 1,Group 1,Friday 16:10 - 17:30,65
clock,Round 1,Group 1,Friday 17:35 - 17:55,63
clock,Round 1,Group 2,Friday 17:55 - 18:15,69
sq1,Round 1,Group 1,Friday 18:15 - 18:31,71
sq1,Round 1,Group 2,Friday 18:31 - 18:48,71
sq1,Round 1,Group 3,Friday 18:48 - 19:05,64
333fm,Round 1,Group 1,Friday 19:15 - 20:15,51
333fm,Round 1,Group 1,Saturday 08:00 - 09:00,52
444,Round 1,Group 1,Saturday 09:15 - 09:35,48
444,Round 1,Group 2,Saturday 09:35 - 09:55,59
444,Round 1,Group 3,Saturday 09:55 - 10:15,65
444,Round 1,Group 4,Saturday 10:15 - 10:35,66
444,Round 1,Group 5,Saturday 10:35 - 10:55,66
444,Round 1,Group 6,Saturday 10:55 - 11:15,66
444bf,Round 1,Group 1,Saturday 10:00 - 11:00,65
333,Round 1,Group 1,Saturday 11:15 - 11:31,72
333,Round 1,Group 2,Saturday 11:31 - 11:48,63
333,Round 1,Group 3,Saturday 11:48 - 12:05,63
333,Round 1,Group 4,Saturday 12:05 - 12:21,64
333,Round 1,Group 5,Saturday 12:21 - 12:38,64
333,Round 1,Group 6,Saturday 12:38 - 12:55,63
333,Round 1,Group 7,Saturday 12:55 - 13:11,63
333,Round 1,Group 8,Saturday 13:11 - 13:28,63
333,Round 1,Group 9,Saturday 13:28 - 13:45,64
333oh,Round 1,Group 1,Saturday 14:15 - 14:33,68
333oh,Round 1,Group 2,Saturday 14:33 - 14:51,68
333oh,Round 1,Group 3,Saturday 14:51 - 15:09,68
333oh,Round 1,Group 4,Saturday 15:09 - 15:27,59
333oh,Round 1,Group 5,Saturday 15:27 - 15:45,59
333mbf,Round 2,Group 1,Saturday 15:15 - 16:15,38
222,Round 1,Group 1,Saturday 15:45 - 16:00,63
222,Round 1,Group 2,Saturday 16:00 - 16:15,54
222,Round 1,Group 3,Saturday 16:15 - 16:30,53
222,Round 1,Group 4,Saturday 16:30 - 16:45,64
222,Round 1,Group 5,Saturday 16:45 - 17:00,61
222,Round 1,Group 6,Saturday 17:00 - 17:15,65
pyram,Round 1,Group 1,Saturday 17:15 - 17:33,67
pyram,Round 1,Group 2,Saturday 17:33 - 17:52,66
pyram,Round 1,Group 3,Saturday 17:52 - 18:11,66
pyram,Round 1,Group 4,Saturday 18:11 - 18:30,66
333bf,Round 1,Group 1,Saturday 18:30 - 18:48,68
333bf,Round 1,Group 2,Saturday 18:48 - 19:07,64
333bf,Round 1,Group 3,Saturday 19:07 - 19:26,68
333bf,Round 1,Group 4,Saturday 19:26 - 19:45,62
sq1,Round 2,Group 1,Saturday 19:45 - 20:00,71
clock,Round 2,Group 1,Saturday 20:00 - 20:15,69
minx,Round 2,Group 1,Saturday 20:15 - 20:30,70
555,Round 2,Group 1,Sunday 08:15 - 08:50,69
skewb,Round 2,Group 1,Sunday 08:50 - 09:05,70
skewb,Round 2,Group 2,Sunday 09:05 - 09:20,70
pyram,Round 2,Group 1,Sunday 09:20 - 09:35,65
pyram,Round 2,Group 2,Sunday 09:35 - 09:50,65
777,Round 2,Group 1,Sunday 09:50 - 10:15,73
666,Round 2,Group 1,Sunday 10:15 - 10:35,73
555,Round 2,Group 1,Sunday 10:35 - 10:55,69
skewb,Round 2,Group 1,Sunday 10:55 - 11:05,70
pyram,Round 2,Group 1,Sunday 11:05 - 11:15,65
333bf,Round 2,Group 1,Sunday 11:15 - 11:25,69
333,Round 2,Group 1,Sunday 11:25 - 11:43,51
333,Round 2,Group 2,Sunday 11:43 - 12:01,51
333,Round 2,Group 3,Sunday 12:01 - 12:20,51
444,Round 2,Group 1,Sunday 12:20 - 12:42,65
444,Round 2,Group 2,Sunday 12:42 - 13:05,65
333oh,Round 2,Group 1,Sunday 13:35 - 13:52,66
333oh,Round 2,Group 2,Sunday 13:52 - 14:10,66
222,Round 2,Group 1,Sunday 14:10 - 14:22,59
222,Round 2,Group 2,Sunday 14:22 - 14:35,59
333,Round 3,Group 1,Sunday 14:35 - 14:50,51
333,Round 3,Group 2,Sunday 14:50 - 15:05,51
444,Round 3,Group 1,Sunday 15:05 - 15:25,65
333oh,Round 3,Group 1,Sunday 15:25 - 15:40,66
222,Round 3,Group 1,Sunday 15:40 - 15:55,59
